Calculating IDF values for terms...
--------------------------------------------------
Total Documents: 3204

Term: 'preliminari' | Document Frequency: 19
Term: 'disclos' | Document Frequency: 1
Term: 'disclos' | Inverse Document Frequency: 3.5056925074122
Term: 'fidel' | Document Frequency: 2
Term: 'fidel' | Inverse Document Frequency: 3.204662511748219
Term: 'bond' | Document Frequency: 4
Term: 'bond' | Inverse Document Frequency: 2.9036325160842376
Term: 'coverag' | Document Frequency: 4
Term: 'coverag' | Inverse Document Frequency: 2.9036325160842376
Term: 'liabil' | Document Frequency: 4
Term: 'liabil' | Inverse Document Frequency: 2.9036325160842376
Term: 'improp' | Document Frequency: 4
Term: 'improp' | Inverse Document Frequency: 2.9036325160842376
Term: 'refus' | Document Frequency: 2
Term: 'refus' | Inverse Document Frequency: 3.204662511748219
Term: 'pai' | Document Frequency: 1
Term: 'pai' | Inverse Document Frequency: 3.5056925074122
Term: 'suscept' | Document Frequency: 1
Term: 'suscept' | Inverse Document Frequency: 3.5056925074122
Term: 'proprieti' | Document Frequency: 1
Term: 'proprieti' | Inverse Document Frequency: 3.5056925074122
Term: 'nonbank' | Document Frequency: 1
Term: 'nonbank' | Inverse Document Frequency: 3.5056925074122
Term: 'entiti' | Document Frequency: 9
Term: 'entiti' | Inverse Document Frequency: 2.5514499979728753
Term: 'charg' | Document Frequency: 8
Term: 'charg' | Inverse Document Frequency: 2.6026025204202563
Term: 'depositor' | Document Frequency: 1
Term: 'depositor' | Inverse Document Frequency: 3.5056925074122
Term: 'telefilea' | Document Frequency: 1
Term: 'telefilea' | Inverse Document Frequency: 3.5056925074122
Term: 'sander' | Document Frequency: 1
Term: 'sander' | Inverse Document Frequency: 3.5056925074122
Term: 'consumm' | Document Frequency: 1
Term: 'consumm' | Inverse Document Frequency: 3.5056925074122
Term: 'teleregist' | Document Frequency: 1
Term: 'teleregist' | Inverse Document Frequency: 3.5056925074122
Term: 'led' | Document Frequency: 8
Term: 'led' | Inverse Document Frequency: 2.6026025204202563
Term: 'offlin' | Document Frequency: 4
Term: 'offlin' | Inverse Document Frequency: 2.9036325160842376
Term: 'cite' | Document Frequency: 1
Term: 'cite' | Inverse Document Frequency: 3.5056925074122
Term: 'banker' | Document Frequency: 1
Term: 'banker' | Inverse Document Frequency: 3.5056925074122
Term: 'adp' | Document Frequency: 1
Term: 'adp' | Inverse Document Frequency: 3.5056925074122
Term: 'tax' | Document Frequency: 3
Term: 'tax' | Inverse Document Frequency: 3.0285712526925375
Term: 'leibowitz' | Document Frequency: 1
Term: 'leibowitz' | Inverse Document Frequency: 3.5056925074122
Term: 'eckert' | Document Frequency: 1
Term: 'eckert' | Inverse Document Frequency: 3.5056925074122
Term: 'andrew' | Document Frequency: 1
Term: 'andrew' | Inverse Document Frequency: 3.5056925074122
Term: 'hassler' | Document Frequency: 1
Term: 'hassler' | Inverse Document Frequency: 3.5056925074122
Term: 'decou' | Document Frequency: 1
Term: 'decou' | Inverse Document Frequency: 3.5056925074122
Term: 'gross' | Document Frequency: 2
Term: 'gross' | Inverse Document Frequency: 3.204662511748219
Term: 'urin' | Document Frequency: 1
Term: 'urin' | Inverse Document Frequency: 3.5056925074122
Term: 'blood' | Document Frequency: 2
Term: 'blood' | Inverse Document Frequency: 3.204662511748219
Term: 'chemistri' | Document Frequency: 3
Term: 'chemistri' | Inverse Document Frequency: 3.0285712526925375
Term: 'hematolog' | Document Frequency: 1
Term: 'hematolog' | Inverse Document Frequency: 3.5056925074122
Term: 'hospit' | Document Frequency: 4
Term: 'hospit' | Inverse Document Frequency: 2.9036325160842376
Term: 'abl' | Document Frequency: 16
Term: 'abl' | Inverse Document Frequency: 2.301572524756275
Term: 'everi' | Document Frequency: 25
Term: 'everi' | Inverse Document Frequency: 2.1077524987401626
Term: 'convention' | Document Frequency: 5
Term: 'convention' | Inverse Document Frequency: 2.8067225030761813
Term: 'qualit' | Document Frequency: 4
Term: 'qualit' | Inverse Document Frequency: 2.9036325160842376
Term: 'quantit' | Document Frequency: 7
Term: 'quantit' | Inverse Document Frequency: 2.660594467397943
Term: 'arbitrarili' | Document Frequency: 7
Term: 'arbitrarili' | Inverse Document Frequency: 2.660594467397943
Term: 'stratifi' | Document Frequency: 2
Term: 'stratifi' | Inverse Document Frequency: 3.204662511748219
Term: 'alter' | Document Frequency: 11
Term: 'alter' | Inverse Document Frequency: 2.464299822253975
Term: 'list' | Document Frequency: 17
Term: 'list' | Inverse Document Frequency: 2.275243586033926
Term: 'multiplesynonym' | Document Frequency: 1
Term: 'multiplesynonym' | Inverse Document Frequency: 3.5056925074122
Term: 'computerproduc' | Document Frequency: 1
Term: 'computerproduc' | Inverse Document Frequency: 3.5056925074122
Term: 'reproduct' | Document Frequency: 2
Term: 'reproduct' | Inverse Document Frequency: 3.204662511748219
Term: 'though' | Document Frequency: 17
Term: 'though' | Inverse Document Frequency: 2.275243586033926
Term: 'remain' | Document Frequency: 19
Term: 'remain' | Inverse Document Frequency: 2.226938906459371
Term: 'unsolv' | Document Frequency: 2
Term: 'unsolv' | Inverse Document Frequency: 3.204662511748219
Term: 'ten' | Document Frequency: 15
Term: 'ten' | Inverse Document Frequency: 2.3296012483565187
Term: 'wit' | Document Frequency: 1
Term: 'wit' | Inverse Document Frequency: 3.5056925074122
Term: 'emerg' | Document Frequency: 7
Term: 'emerg' | Inverse Document Frequency: 2.660594467397943
Term: 'incompletebeta' | Document Frequency: 1
Term: 'incompletebeta' | Inverse Document Frequency: 3.5056925074122
Term: 'tang' | Document Frequency: 2
Term: 'tang' | Inverse Document Frequency: 3.204662511748219
Term: 'maxim' | Document Frequency: 20
Term: 'maxim' | Inverse Document Frequency: 2.204662511748219
Term: 'onto' | Document Frequency: 5
Term: 'onto' | Inverse Document Frequency: 2.8067225030761813
Term: 'ascend' | Document Frequency: 3
Term: 'ascend' | Inverse Document Frequency: 3.0285712526925375
Term: 'descend' | Document Frequency: 7
Term: 'descend' | Inverse Document Frequency: 2.660594467397943
Term: 'threefourth' | Document Frequency: 1
Term: 'threefourth' | Inverse Document Frequency: 3.5056925074122
Term: 'contrari' | Document Frequency: 1
Term: 'contrari' | Inverse Document Frequency: 3.5056925074122
Term: 'appear' | Document Frequency: 47
Term: 'appear' | Inverse Document Frequency: 1.8335946494764825
Term: 'slight' | Document Frequency: 2
Term: 'slight' | Inverse Document Frequency: 3.204662511748219
Term: 'readbackward' | Document Frequency: 2
Term: 'readbackward' | Inverse Document Frequency: 3.204662511748219
Term: 'therefor' | Document Frequency: 21
Term: 'therefor' | Inverse Document Frequency: 2.183473212678281
Term: 'bittim' | Document Frequency: 1
Term: 'bittim' | Inverse Document Frequency: 3.5056925074122
Term: 'host' | Document Frequency: 6
Term: 'host' | Inverse Document Frequency: 2.727541257028556
Term: 'admit' | Document Frequency: 6
Term: 'admit' | Inverse Document Frequency: 2.727541257028556
Term: 'superscript' | Document Frequency: 2
Term: 'superscript' | Inverse Document Frequency: 3.204662511748219
Term: 'comm' | Document Frequency: 10
Term: 'comm' | Inverse Document Frequency: 2.5056925074122
Term: 'jan' | Document Frequency: 1
Term: 'jan' | Inverse Document Frequency: 3.5056925074122
Term: '3136' | Document Frequency: 1
Term: '3136' | Inverse Document Frequency: 3.5056925074122
Term: 'promin' | Document Frequency: 1
Term: 'promin' | Inverse Document Frequency: 3.5056925074122
Term: 'chief' | Document Frequency: 4
Term: 'chief' | Inverse Document Frequency: 2.9036325160842376
Term: 'focus' | Document Frequency: 5
Term: 'focus' | Inverse Document Frequency: 2.8067225030761813
Term: 'errorcorrect' | Document Frequency: 1
Term: 'errorcorrect' | Inverse Document Frequency: 3.5056925074122
Term: 'pars' | Document Frequency: 54
Term: 'pars' | Inverse Document Frequency: 1.7732987475892314
Term: 'lomi' | Document Frequency: 1
Term: 'lomi' | Inverse Document Frequency: 3.5056925074122
Term: 'rubin' | Document Frequency: 2
Term: 'rubin' | Inverse Document Frequency: 3.204662511748219
Term: 'ayer' | Document Frequency: 1
Term: 'ayer' | Inverse Document Frequency: 3.5056925074122
Term: 'weimer' | Document Frequency: 1
Term: 'weimer' | Inverse Document Frequency: 3.5056925074122
Term: '8' | Document Frequency: 5
Term: '8' | Inverse Document Frequency: 2.8067225030761813
Term: 'smooth' | Document Frequency: 13
Term: 'smooth' | Inverse Document Frequency: 2.391749155105363
Term: '216' | Document Frequency: 2
Term: '216' | Inverse Document Frequency: 3.204662511748219
Term: 'shank' | Document Frequency: 2
Term: 'shank' | Inverse Document Frequency: 3.204662511748219
Term: '215' | Document Frequency: 4
Term: '215' | Inverse Document Frequency: 2.9036325160842376
Term: 'qbessel' | Document Frequency: 3
Term: 'qbessel' | Inverse Document Frequency: 3.0285712526925375
Term: '214' | Document Frequency: 3
Term: '214' | Inverse Document Frequency: 3.0285712526925375
Term: 'simo' | Document Frequency: 5
Term: 'simo' | Inverse Document Frequency: 2.8067225030761813
Term: 'pereira' | Document Frequency: 4
Term: 'pereira' | Inverse Document Frequency: 2.9036325160842376
Term: 'czechoslovakia' | Document Frequency: 1
Term: 'czechoslovakia' | Inverse Document Frequency: 3.5056925074122
Term: 'poland' | Document Frequency: 1
Term: 'poland' | Inverse Document Frequency: 3.5056925074122
Term: '1963' | Document Frequency: 12
Term: '1963' | Inverse Document Frequency: 2.4265112613645754
Term: 'gosden' | Document Frequency: 1
Term: 'gosden' | Inverse Document Frequency: 3.5056925074122
Term: 'gai' | Document Frequency: 1
Term: 'gai' | Inverse Document Frequency: 3.5056925074122
Term: 'christoph' | Document Frequency: 1
Term: 'christoph' | Inverse Document Frequency: 3.5056925074122
Term: 'usa' | Document Frequency: 11
Term: 'usa' | Inverse Document Frequency: 2.464299822253975
Term: 'apt' | Document Frequency: 1
Term: 'apt' | Inverse Document Frequency: 3.5056925074122
Term: 'drayton' | Document Frequency: 1
Term: 'drayton' | Inverse Document Frequency: 3.5056925074122
Term: 'mittman' | Document Frequency: 1
Term: 'mittman' | Inverse Document Frequency: 3.5056925074122
Term: 'usag' | Document Frequency: 34
Term: 'usag' | Inverse Document Frequency: 1.974213590369945
Term: 'krolak' | Document Frequency: 3
Term: 'krolak' | Inverse Document Frequency: 3.0285712526925375
Term: 'unimod' | Document Frequency: 2
Term: 'unimod' | Inverse Document Frequency: 3.204662511748219
Term: 'proven' | Document Frequency: 6
Term: 'proven' | Inverse Document Frequency: 2.727541257028556
Term: 'sens' | Document Frequency: 26
Term: 'sens' | Inverse Document Frequency: 2.090719159441382
Term: 'onedimension' | Document Frequency: 1
Term: 'onedimension' | Inverse Document Frequency: 3.5056925074122
Term: 'hess' | Document Frequency: 1
Term: 'hess' | Inverse Document Frequency: 3.5056925074122
Term: 'summar' | Document Frequency: 20
Term: 'summar' | Inverse Document Frequency: 2.204662511748219
Term: 'tapesort' | Document Frequency: 2
Term: 'tapesort' | Inverse Document Frequency: 3.204662511748219
Term: 'competit' | Document Frequency: 2
Term: 'competit' | Inverse Document Frequency: 3.204662511748219
Term: 'voorh' | Document Frequency: 1
Term: 'voorh' | Inverse Document Frequency: 3.5056925074122
Term: '7030' | Document Frequency: 1
Term: '7030' | Inverse Document Frequency: 3.5056925074122
Term: 'emphasi' | Document Frequency: 35
Term: 'emphasi' | Inverse Document Frequency: 1.9616244630619244
Term: 'twodisk' | Document Frequency: 1
Term: 'twodisk' | Inverse Document Frequency: 3.5056925074122
Term: '4194304' | Document Frequency: 1
Term: '4194304' | Inverse Document Frequency: 3.5056925074122
Term: '72bit' | Document Frequency: 1
Term: '72bit' | Inverse Document Frequency: 3.5056925074122
Term: 'usecperword' | Document Frequency: 1
Term: 'usecperword' | Inverse Document Frequency: 3.5056925074122
Term: 'arm' | Document Frequency: 2
Term: 'arm' | Inverse Document Frequency: 3.204662511748219
Term: '260000' | Document Frequency: 1
Term: '260000' | Inverse Document Frequency: 3.5056925074122
Term: 'delai' | Document Frequency: 7
Term: 'delai' | Inverse Document Frequency: 2.660594467397943
Term: 'dump' | Document Frequency: 4
Term: 'dump' | Inverse Document Frequency: 2.9036325160842376
Term: 'malfunct' | Document Frequency: 4
Term: 'malfunct' | Inverse Document Frequency: 2.9036325160842376
Term: 'weak' | Document Frequency: 11
Term: 'weak' | Inverse Document Frequency: 2.464299822253975
Term: 'connot' | Document Frequency: 1
Term: 'connot' | Inverse Document Frequency: 3.5056925074122
Term: 'acquisit' | Document Frequency: 4
Term: 'acquisit' | Inverse Document Frequency: 2.9036325160842376
Term: 'inquiri' | Document Frequency: 4
Term: 'inquiri' | Inverse Document Frequency: 2.9036325160842376
Term: 'edward' | Document Frequency: 2
Term: 'edward' | Inverse Document Frequency: 3.204662511748219
Term: 'missil' | Document Frequency: 1
Term: 'missil' | Inverse Document Frequency: 3.5056925074122
Term: 'instal' | Document Frequency: 12
Term: 'instal' | Inverse Document Frequency: 2.4265112613645754
Term: 'ada' | Document Frequency: 1
Term: 'ada' | Inverse Document Frequency: 3.5056925074122
Term: 'ti' | Document Frequency: 3
Term: 'ti' | Inverse Document Frequency: 3.0285712526925375
Term: 'togeth' | Document Frequency: 35
Term: 'togeth' | Inverse Document Frequency: 1.9616244630619244
Term: 'nui' | Document Frequency: 1
Term: 'nui' | Inverse Document Frequency: 3.5056925074122
Term: 'sunnyval' | Document Frequency: 1
Term: 'sunnyval' | Inverse Document Frequency: 3.5056925074122
Term: 'remot' | Document Frequency: 24
Term: 'remot' | Inverse Document Frequency: 2.125481265700594
Term: 'central' | Document Frequency: 30
Term: 'central' | Inverse Document Frequency: 2.0285712526925375
Term: 'rca' | Document Frequency: 5
Term: 'rca' | Inverse Document Frequency: 2.8067225030761813
Term: '301' | Document Frequency: 5
Term: '301' | Inverse Document Frequency: 2.8067225030761813
Term: '366' | Document Frequency: 19
Term: '366' | Inverse Document Frequency: 2.226938906459371
Term: 'disc' | Document Frequency: 2
Term: 'disc' | Inverse Document Frequency: 3.204662511748219
Term: 'uptod' | Document Frequency: 2
Term: 'uptod' | Inverse Document Frequency: 3.204662511748219
Term: 'incom' | Document Frequency: 4
Term: 'incom' | Inverse Document Frequency: 2.9036325160842376
Term: 'outgo' | Document Frequency: 1
Term: 'outgo' | Inverse Document Frequency: 3.5056925074122
Term: 'move' | Document Frequency: 15
Term: 'move' | Inverse Document Frequency: 2.3296012483565187
Term: 'isodos' | Document Frequency: 1
Term: 'isodos' | Inverse Document Frequency: 3.5056925074122
Term: 'radiotherapi' | Document Frequency: 1
Term: 'radiotherapi' | Inverse Document Frequency: 3.5056925074122
Term: 'dalrympl' | Document Frequency: 1
Term: 'dalrympl' | Inverse Document Frequency: 3.5056925074122
Term: 'pereztamayo' | Document Frequency: 1
Term: 'pereztamayo' | Inverse Document Frequency: 3.5056925074122
Term: 'datadi' | Document Frequency: 1
Term: 'datadi' | Inverse Document Frequency: 3.5056925074122
Term: 'twowai' | Document Frequency: 2
Term: 'twowai' | Inverse Document Frequency: 3.204662511748219
Term: 'dial' | Document Frequency: 3
Term: 'dial' | Inverse Document Frequency: 3.0285712526925375
Term: 'telephon' | Document Frequency: 11
Term: 'telephon' | Inverse Document Frequency: 2.464299822253975
Term: 'maril' | Document Frequency: 2
Term: 'maril' | Inverse Document Frequency: 3.204662511748219
Term: 'spoken' | Document Frequency: 3
Term: 'spoken' | Inverse Document Frequency: 3.0285712526925375
Term: 'boston' | Document Frequency: 1
Term: 'boston' | Inverse Document Frequency: 3.5056925074122
Term: 'contourmap' | Document Frequency: 1
Term: 'contourmap' | Inverse Document Frequency: 3.5056925074122
Term: 'xrai' | Document Frequency: 5
Term: 'xrai' | Inverse Document Frequency: 2.8067225030761813
Term: 'crystallographi' | Document Frequency: 4
Term: 'crystallographi' | Inverse Document Frequency: 2.9036325160842376
Term: 'dayhoff' | Document Frequency: 1
Term: 'dayhoff' | Inverse Document Frequency: 3.5056925074122
Term: 'yplotter' | Document Frequency: 1
Term: 'yplotter' | Inverse Document Frequency: 3.5056925074122
Term: 'contour' | Document Frequency: 17
Term: 'contour' | Inverse Document Frequency: 2.275243586033926
Term: 'evenli' | Document Frequency: 1
Term: 'evenli' | Inverse Document Frequency: 3.5056925074122
Term: 'ax' | Document Frequency: 4
Term: 'ax' | Inverse Document Frequency: 2.9036325160842376
Term: 'perpendicular' | Document Frequency: 1
Term: 'perpendicular' | Inverse Document Frequency: 3.5056925074122
Term: '210' | Document Frequency: 6
Term: '210' | Inverse Document Frequency: 2.727541257028556
Term: 'dwyer' | Document Frequency: 3
Term: 'dwyer' | Inverse Document Frequency: 3.0285712526925375
Term: 'schubert' | Document Frequency: 4
Term: 'schubert' | Inverse Document Frequency: 2.9036325160842376
Term: '173' | Document Frequency: 3
Term: '173' | Inverse Document Frequency: 3.0285712526925375
Term: 'filsak' | Document Frequency: 1
Term: 'filsak' | Inverse Document Frequency: 3.5056925074122
Term: 'vrchovecka' | Document Frequency: 1
Term: 'vrchovecka' | Inverse Document Frequency: 3.5056925074122
Term: 'scowen' | Document Frequency: 2
Term: 'scowen' | Inverse Document Frequency: 3.204662511748219
Term: 'combinatori' | Document Frequency: 28
Term: 'combinatori' | Inverse Document Frequency: 2.0585344760699806
Term: '161' | Document Frequency: 3
Term: '161' | Inverse Document Frequency: 3.0285712526925375
Term: '160' | Document Frequency: 3
Term: '160' | Inverse Document Frequency: 3.0285712526925375
Term: 'blake' | Document Frequency: 1
Term: 'blake' | Inverse Document Frequency: 3.5056925074122
Term: '157' | Document Frequency: 3
Term: '157' | Inverse Document Frequency: 3.0285712526925375
Term: 'ibbetson' | Document Frequency: 2
Term: 'ibbetson' | Inverse Document Frequency: 3.204662511748219
Term: '213' | Document Frequency: 2
Term: '213' | Inverse Document Frequency: 3.204662511748219
Term: '212' | Document Frequency: 15
Term: '212' | Inverse Document Frequency: 2.3296012483565187
Term: '211' | Document Frequency: 17
Term: '211' | Inverse Document Frequency: 2.275243586033926
Term: 'lagrangian' | Document Frequency: 2
Term: 'lagrangian' | Inverse Document Frequency: 3.204662511748219
Term: '209' | Document Frequency: 4
Term: '209' | Inverse Document Frequency: 2.9036325160842376
Term: '208' | Document Frequency: 1
Term: '208' | Inverse Document Frequency: 3.5056925074122
Term: 'foreman' | Document Frequency: 1
Term: 'foreman' | Inverse Document Frequency: 3.5056925074122
Term: 'stringsort' | Document Frequency: 3
Term: 'stringsort' | Inverse Document Frequency: 3.0285712526925375
Term: '207' | Document Frequency: 3
Term: '207' | Inverse Document Frequency: 3.0285712526925375
Term: 'boothroyd' | Document Frequency: 15
Term: 'boothroyd' | Inverse Document Frequency: 2.3296012483565187
Term: 'ntupl' | Document Frequency: 5
Term: 'ntupl' | Inverse Document Frequency: 2.8067225030761813
Term: 'fewer' | Document Frequency: 11
Term: 'fewer' | Inverse Document Frequency: 2.464299822253975
Term: 'exactli' | Document Frequency: 10
Term: 'exactli' | Inverse Document Frequency: 2.5056925074122
Term: 'gressett' | Document Frequency: 1
Term: 'gressett' | Inverse Document Frequency: 3.5056925074122
Term: 'replac' | Document Frequency: 33
Term: 'replac' | Inverse Document Frequency: 1.9871785675343125
Term: 'width' | Document Frequency: 2
Term: 'width' | Inverse Document Frequency: 3.204662511748219
Term: 'rotenberg' | Document Frequency: 3
Term: 'rotenberg' | Inverse Document Frequency: 3.0285712526925375
Term: 'readi' | Document Frequency: 7
Term: 'readi' | Inverse Document Frequency: 2.660594467397943
Term: 'push' | Document Frequency: 3
Term: 'push' | Inverse Document Frequency: 3.0285712526925375
Term: 'pop' | Document Frequency: 2
Term: 'pop' | Inverse Document Frequency: 3.204662511748219
Term: 'delimit' | Document Frequency: 3
Term: 'delimit' | Inverse Document Frequency: 3.0285712526925375
Term: 'fixedlength' | Document Frequency: 3
Term: 'fixedlength' | Inverse Document Frequency: 3.0285712526925375
Term: 'formatfre' | Document Frequency: 1
Term: 'formatfre' | Inverse Document Frequency: 3.5056925074122
Term: 'bailei' | Document Frequency: 3
Term: 'bailei' | Inverse Document Frequency: 3.0285712526925375
Term: 'american' | Document Frequency: 43
Term: 'american' | Inverse Document Frequency: 1.8722240518326134
Term: 'flowchart' | Document Frequency: 25
Term: 'flowchart' | Inverse Document Frequency: 2.1077524987401626
Term: 'rossheim' | Document Frequency: 1
Term: 'rossheim' | Inverse Document Frequency: 3.5056925074122
Term: 'x36' | Document Frequency: 1
Term: 'x36' | Inverse Document Frequency: 3.5056925074122
Term: 'asa' | Document Frequency: 8
Term: 'asa' | Inverse Document Frequency: 2.6026025204202563
Term: 'alcor' | Document Frequency: 4
Term: 'alcor' | Inverse Document Frequency: 2.9036325160842376
Term: 'ecma' | Document Frequency: 2
Term: 'ecma' | Inverse Document Frequency: 3.204662511748219
Term: 'synopsi' | Document Frequency: 2
Term: 'synopsi' | Inverse Document Frequency: 3.204662511748219
Term: '549' | Document Frequency: 5
Term: '549' | Inverse Document Frequency: 2.8067225030761813
Term: 'attitud' | Document Frequency: 12
Term: 'attitud' | Inverse Document Frequency: 2.4265112613645754
Term: 'career' | Document Frequency: 1
Term: 'career' | Inverse Document Frequency: 3.5056925074122
Term: 'job' | Document Frequency: 36
Term: 'job' | Inverse Document Frequency: 1.9493900066449128
Term: 'percentag' | Document Frequency: 4
Term: 'percentag' | Inverse Document Frequency: 2.9036325160842376
Term: 'accid' | Document Frequency: 1
Term: 'accid' | Inverse Document Frequency: 3.5056925074122
Term: 'happi' | Document Frequency: 1
Term: 'happi' | Inverse Document Frequency: 3.5056925074122
Term: 'satisfact' | Document Frequency: 1
Term: 'satisfact' | Inverse Document Frequency: 3.5056925074122
Term: 'mostfind' | Document Frequency: 1
Term: 'mostfind' | Inverse Document Frequency: 3.5056925074122
Term: 'salari' | Document Frequency: 3
Term: 'salari' | Inverse Document Frequency: 3.0285712526925375
Term: 'prospect' | Document Frequency: 3
Term: 'prospect' | Inverse Document Frequency: 3.0285712526925375
Term: 'satisfactori' | Document Frequency: 17
Term: 'satisfactori' | Inverse Document Frequency: 2.275243586033926
Term: 'half' | Document Frequency: 21
Term: 'half' | Inverse Document Frequency: 2.183473212678281
Term: 'turnov' | Document Frequency: 1
Term: 'turnov' | Inverse Document Frequency: 3.5056925074122
Term: 'themselv' | Document Frequency: 7
Term: 'themselv' | Inverse Document Frequency: 2.660594467397943
Term: 'attribut' | Document Frequency: 17
Term: 'attribut' | Inverse Document Frequency: 2.275243586033926
Term: 'managementsalari' | Document Frequency: 1
Term: 'managementsalari' | Inverse Document Frequency: 3.5056925074122
Term: 'seen' | Document Frequency: 7
Term: 'seen' | Inverse Document Frequency: 2.660594467397943
Term: 'mobil' | Document Frequency: 3
Term: 'mobil' | Inverse Document Frequency: 3.0285712526925375
Term: 'colleagu' | Document Frequency: 1
Term: 'colleagu' | Inverse Document Frequency: 3.5056925074122
Term: 'whole' | Document Frequency: 10
Term: 'whole' | Inverse Document Frequency: 2.5056925074122
Term: 'vari' | Document Frequency: 27
Term: 'vari' | Inverse Document Frequency: 2.0743287432532127
Term: 'immedi' | Document Frequency: 18
Term: 'immedi' | Inverse Document Frequency: 2.250420002308894
Term: 'personnel' | Document Frequency: 6
Term: 'personnel' | Inverse Document Frequency: 2.727541257028556
Term: 'profess' | Document Frequency: 3
Term: 'profess' | Inverse Document Frequency: 3.0285712526925375
Term: 'mccormick' | Document Frequency: 1
Term: 'mccormick' | Inverse Document Frequency: 3.5056925074122
Term: 'lattic' | Document Frequency: 7
Term: 'lattic' | Inverse Document Frequency: 2.660594467397943
Term: 'smilli' | Document Frequency: 2
Term: 'smilli' | Inverse Document Frequency: 3.204662511748219
Term: 'delta' | Document Frequency: 2
Term: 'delta' | Inverse Document Frequency: 3.204662511748219
Term: 'greenspan' | Document Frequency: 4
Term: 'greenspan' | Inverse Document Frequency: 2.9036325160842376
Term: 'yohe' | Document Frequency: 2
Term: 'yohe' | Inverse Document Frequency: 3.204662511748219
Term: 'dirichlet' | Document Frequency: 2
Term: 'dirichlet' | Inverse Document Frequency: 3.204662511748219
Term: 'fu' | Document Frequency: 1
Term: 'fu' | Inverse Document Frequency: 3.5056925074122
Term: 'treat' | Document Frequency: 26
Term: 'treat' | Inverse Document Frequency: 2.090719159441382
Term: 'exception' | Document Frequency: 1
Term: 'exception' | Inverse Document Frequency: 3.5056925074122
Term: 'suppliedextens' | Document Frequency: 1
Term: 'suppliedextens' | Inverse Document Frequency: 3.5056925074122
Term: '4dimension' | Document Frequency: 1
Term: '4dimension' | Inverse Document Frequency: 3.5056925074122
Term: 'computerdrawn' | Document Frequency: 1
Term: 'computerdrawn' | Inverse Document Frequency: 3.5056925074122
Term: 'promis' | Document Frequency: 12
Term: 'promis' | Inverse Document Frequency: 2.4265112613645754
Term: 'hi' | Document Frequency: 42
Term: 'hi' | Inverse Document Frequency: 1.8824432170142997
Term: 'crossreferenc' | Document Frequency: 2
Term: 'crossreferenc' | Inverse Document Frequency: 3.204662511748219
Term: 'kept' | Document Frequency: 8
Term: 'kept' | Inverse Document Frequency: 2.6026025204202563
Term: 'clearli' | Document Frequency: 6
Term: 'clearli' | Inverse Document Frequency: 2.727541257028556
Term: 'wirth' | Document Frequency: 16
Term: 'wirth' | Inverse Document Frequency: 2.301572524756275
Term: 'mirfag' | Document Frequency: 1
Term: 'mirfag' | Inverse Document Frequency: 3.5056925074122
Term: 'plain' | Document Frequency: 2
Term: 'plain' | Inverse Document Frequency: 3.204662511748219
Term: 'gawlik' | Document Frequency: 1
Term: 'gawlik' | Inverse Document Frequency: 3.5056925074122
Term: 'pilot' | Document Frequency: 3
Term: 'pilot' | Inverse Document Frequency: 3.0285712526925375
Term: 'organiz' | Document Frequency: 7
Term: 'organiz' | Inverse Document Frequency: 2.660594467397943
Term: 'uncompil' | Document Frequency: 1
Term: 'uncompil' | Inverse Document Frequency: 3.5056925074122
Term: 'fragment' | Document Frequency: 15
Term: 'fragment' | Inverse Document Frequency: 2.3296012483565187
Term: 'cell' | Document Frequency: 20
Term: 'cell' | Inverse Document Frequency: 2.204662511748219
Term: 'forward' | Document Frequency: 11
Term: 'forward' | Inverse Document Frequency: 2.464299822253975
Term: 'backward' | Document Frequency: 9
Term: 'backward' | Inverse Document Frequency: 2.5514499979728753
Term: 'datum' | Document Frequency: 3
Term: 'datum' | Inverse Document Frequency: 3.0285712526925375
Term: 'imbed' | Document Frequency: 5
Term: 'imbed' | Inverse Document Frequency: 2.8067225030761813
Term: 'higher' | Document Frequency: 23
Term: 'higher' | Inverse Document Frequency: 2.143964671394607
Term: 'primit' | Document Frequency: 37
Term: 'primit' | Inverse Document Frequency: 1.937490783345205
Term: 'round' | Document Frequency: 18
Term: 'round' | Inverse Document Frequency: 2.250420002308894
Term: '166' | Document Frequency: 2
Term: '166' | Inverse Document Frequency: 3.204662511748219
Term: 'rodman' | Document Frequency: 3
Term: 'rodman' | Inverse Document Frequency: 3.0285712526925375
Term: '169' | Document Frequency: 2
Term: '169' | Inverse Document Frequency: 3.204662511748219
Term: '168' | Document Frequency: 1
Term: '168' | Inverse Document Frequency: 3.5056925074122
Term: 'confluent' | Document Frequency: 4
Term: 'confluent' | Inverse Document Frequency: 2.9036325160842376
Term: '163' | Document Frequency: 2
Term: '163' | Inverse Document Frequency: 3.204662511748219
Term: '158' | Document Frequency: 1
Term: '158' | Inverse Document Frequency: 3.5056925074122
Term: 'lawrenc' | Document Frequency: 2
Term: 'lawrenc' | Inverse Document Frequency: 3.204662511748219
Term: 'wasscher' | Document Frequency: 4
Term: 'wasscher' | Inverse Document Frequency: 2.9036325160842376
Term: 'wright' | Document Frequency: 7
Term: 'wright' | Inverse Document Frequency: 2.660594467397943
Term: 'arccosin' | Document Frequency: 1
Term: 'arccosin' | Inverse Document Frequency: 3.5056925074122
Term: '206' | Document Frequency: 2
Term: '206' | Inverse Document Frequency: 3.204662511748219
Term: 'konda' | Document Frequency: 1
